GEOCODIGO_MUNICIPIO, NOME_MUNICIPIO, LONGITUDE, LATITUDE, POPULAÇÃO_TOTAL, Ger_RSD_(T/dia), Ger_RCD_(T/dia), Ger_RSS_(T/dia), Geração_Total_(T/dia)
5220454, SENADOR_CANEDO, -49.088, -16.719, 84443, 58.04, 134.79, 0.4391, 193.27
5220504, SERRANÓPOLIS, -51.958, -18.308, 7481, 3.15, 7.09, 0.0289, 10.28
5220603, SILVÂNIA, -48.611, -16.665, 19089, 8.23, 16.24, 0.0661, 24.54
5220686, SIMOLÂNDIA, -46.484, -14.470, 6514, 3.07, 6.89, 0.0281, 9.99
5220702, SÍTIO_D'ABADIA, -46.252, -14.804, 2825, 0.57, 1.27, 0.0052, 1.85
5221007, TAQUARAL_DE_GOIÁS, -49.602, -16.050, 3541, 1.64, 3.69, 0.0150, 5.35
5221080, TERESINA_DE_GOIÁS, -47.264, -13.777, 3016, 1.22, 2.74, 0.0111, 3.96
5221197, TEREZÓPOLIS_DE_GOIÁS, -49.092, -16.479, 6561, 3.24, 7.28, 0.0296, 10.54
5221304, TRÊS_RANCHOS, -47.779, -18.361, 2819, 1.42, 3.19, 0.0130, 4.62
5221403, TRINDADE, -49.489, -16.655, 104488, 79.08, 192.51, 0.5226, 272.12
5221452, TROMBAS, -48.745, -13.508, 3452, 1.25, 2.81, 0.0115, 4.07
5221502, TURVÂNIA, -50.132, -16.610, 4839, 2.22, 4.99, 0.0203, 7.23
5221551, TURVELÂNDIA, -50.307, -17.851, 4399, 1.79, 4.02, 0.0164, 5.83
5221577, UIRAPURU, -49.921, -14.289, 2933, 0.83, 1.88, 0.0076, 2.72
5221601, URUAÇU, -49.147, -14.520, 36929, 21.97, 43.33, 0.1764, 65.47
5221700, URUANA, -49.679, -15.501, 13826, 6.40, 14.40, 0.0586, 20.86
5221809, URUTAÍ, -48.205, -17.460, 3074, 1.23, 2.77, 0.0113, 4.02
5221858, VALPARAÍSO_DE_GOIÁS, -47.984, -16.070, 132982, 105.06, 255.73, 0.6942, 361.48
5221908, VARJÃO, -49.628, -17.041, 3659, 1.28, 2.88, 0.0117, 4.17
5222005, VIANÓPOLIS, -48.513, -16.742, 12548, 5.23, 11.76, 0.0479, 17.03
5222054, VICENTINÓPOLIS, -49.807, -17.733, 7371, 3.60, 8.10, 0.0330, 11.74
5222203, VILA_BOA, -47.057, -15.035, 4735, 2.00, 4.49, 0.0183, 6.50
5222302, VILA_PROPÍCIO, -48.882, -15.455, 5145, 0.86, 1.93, 0.0079, 2.79
